pca1,pca2,category
4.167744997485695,-2.964313267814589,cancer
-8.446213395770231,-6.142237578365599,gastrointestinal
-2.389055836692523,-3.1089251865778844,cancer
-8.301049016314572,0.5212910351741372,
-9.451534589794383,0.8652678462563334,mental_health
0.14099929826289248,1.7390477989178137,nervous_system
-3.1080126947656996,-3.5317562415699113,nervous_system
-0.5065942805857793,-3.5077054157598546,gastrointestinal
-8.070406930092858,-4.777802311276688,immune_system
-0.9283555459129417,1.7919967398372694,cancer
-2.678463963064415,-2.2578177535508486,immune_system
-4.735744161587806,4.455118082803747,
-2.076100308096047,-3.2732246043385604,cancer
8.042566815815611,-0.9988645723826887,cancer
-3.8563657850685638,-3.930429778931133,
-3.5019502894100234,9.638462045836256,nervous_system
-2.370951366382903,-7.1373205974737415,cancer
7.5265160945189775,-1.0529885353092296,cancer
-3.6244076354629136,12.344972794380485,mental_health
-1.3050880496552064,-5.458949443023724,gastrointestinal
-2.4884062822233495,0.17818181535904107,
3.827473684851431,-3.861392546481684,cancer
4.452510344834339,-1.1614891880795901,immune_system
7.359530468990676,0.10647328557345168,cancer
5.1956725298540825,-1.0056349319772584,cancer
-7.478169940877278,4.79312259665119,
-2.2837668135381346,0.48098946759250905,
-9.267094395599827,-2.701324684735519,immune_system
0.610531277656999,4.983569472301308,nervous_system
-0.2859761262531802,-3.3865668946279817,cancer
-0.6240479844625699,7.881682963215279,nervous_system
3.126905397482144,5.6167975541766895,cancer
-0.5908598733385928,0.5080274805657887,cancer
-1.7654008648068493,7.348251163351036,
-8.590634754336017,-8.806563845544328,
7.693462403515948,-2.140334492681212,cancer
0.902608647450144,-4.363546467145703,immune_system
4.1593874706017955,2.1899154661125837,nervous_system
5.458591484448274,-0.39369643575674157,cancer
1.9905844451764951,-0.09061067146222031,cancer
4.578444308325885,-1.475038250629893,cancer
6.331419310968919,1.2799685471604234,cancer
-2.918750472128284,10.03298420079367,mental_health
-4.309322881485898,0.2734017359662956,
5.464360326263098,-4.097772328290161,cancer
0.525607256941193,-2.8666406711375996,cancer
2.972699935801797,-1.061864902226191,cancer
8.815377493929825,-0.6470766852989136,cancer
0.9932367413625206,-0.7892677357813844,cancer
-3.6914680625148555,-3.4595126093711515,
-6.8316292876746845,2.856810597467859,nervous_system
-1.9145959540960473,2.413220942277425,
6.41434048062846,-5.743757671711399,cancer
2.5252569049652327,-2.419863389650382,cancer
-0.33937859941811943,-4.438460949362098,cancer
-7.673481240283089,-3.8152130727840685,gastrointestinal
-0.3613097166426036,-2.170403538788376,cancer
4.835642960509563,1.0745081074237581,cancer
6.988122160172867,0.6202128342109621,cancer
-1.6225818009884936,-1.6372900566259638,
1.7232433290500662,-0.2295869977967534,immune_system
6.663240923806985,-6.798802929265626,cancer
8.188303737248237,-0.7456182170831774,cancer
-4.274631024315351,-7.1873382175006055,cancer
6.873274696352396,2.6241679539242706,gastrointestinal
-5.9042293366854315,6.055851719335207,mental_health
8.173718661084283,-1.0109805683790403,cancer
-2.461053858411442,-4.632017823879091,immune_system
5.176998330534237,2.1779592421570233,cancer
-2.6333753433731943,10.51635198838178,mental_health
-2.229719968560364,-3.676712105257031,cancer
10.40708815661171,0.060433669213918816,cancer
-6.060060426137316,-9.130972690372692,immune_system
-3.349962943016883,2.8845868522617724,
-5.298023427707929,4.982422673299536,nervous_system
-5.168421267796249,6.067996816860627,mental_health
-2.634558514724396,12.867924591116996,mental_health
-3.8443107463189845,0.7300559101085777,
-0.9315228365343837,-3.269040713163594,immune_system
-8.065168120410876,-7.259061059729181,gastrointestinal
-2.6703432495770207,1.4079830267586375,
6.470505280728274,-0.3801156542137292,cancer
-6.541696425833774,-0.5414574637958056,
-1.8613355345592197,0.21494996622044904,immune_system
-4.360293992208982,13.493704271396895,mental_health
-3.2878807845805933,0.6025422712989493,
-4.297663299364287,1.4574357881467983,nervous_system
4.0997665829605765,4.363673851898861,cancer
6.192659230539638,-3.158633961780264,cancer
2.212883262547837,5.985109802734678,nervous_system
-3.3533362755891827,-5.936918620622887,immune_system
0.2614897672974883,-1.0204265013335876,
6.996518587215416,-2.0135826726166925,cancer
-6.79612123337627,-4.132722631108115,immune_system
-6.506966923936131,-7.7027470981555615,immune_system
-0.8149248028932742,2.451134445235832,immune_system
5.110124993109224,2.058046614719328,cancer
2.3406031256652207,-0.45661419350991933,immune_system
-9.560763779878425,-2.846228345378079,
3.04377661195081,2.702201480966411,nervous_system
-4.3531652836302746,0.5864015258727953,gastrointestinal
8.188283718398186,-0.2863013065474473,cancer
-5.038497700897679,-0.11382927708397216,immune_system
3.986547202554046,-0.2184326452112919,
0.4750448572415988,-4.547613587425144,cancer
7.55093272591404,0.24110152442917432,cancer
-1.566336743822063,-0.11653077670397366,
-6.76519341360875,5.9967791955650505,mental_health
7.619045307956246,-0.6214961190838955,cancer
2.0112348872693584,-5.145470460402718,cancer
-0.8874263009496759,1.3206060489691658,
-4.561215606273368,8.751128559748903,mental_health
5.830773710501508,3.6506652033735985,nervous_system
-6.422310901314898,-4.603039290327817,immune_system
-2.243047029673138,4.787889758885568,
7.784873455800994,-1.3819072664204302,cancer
0.4551512519183133,0.9776925535015446,gastrointestinal
1.6603094072173576,-2.8626328525369455,immune_system
1.8746903687890997,-1.0096093653821967,gastrointestinal
-3.442696189093084,-4.380389849692727,gastrointestinal
0.6947378798776543,0.5727377240109349,immune_system
2.3926959788223137,-3.849997321103965,cancer
4.17258867853207,4.551835440992671,immune_system
0.4139912444966739,10.47082102867582,nervous_system
-1.2000214421601731,10.931844568570094,mental_health
4.6137360038045525,-0.5188918528352938,cancer
-2.88336871076903,4.521002335753127,
2.952717029308568,-2.064474026466105,cancer
4.648428946835029,-2.11992496628554,cancer
7.6262335274310935,-3.3552468319658098,cancer
5.1457471919701625,0.4468399446360152,cancer
-1.8744919682640484,-7.411779957422154,cancer
1.6487732295569386,3.8322239570246754,
-7.9261834697603835,-4.8040882396063225,
4.870153826371515,1.5124318228972362,cancer
-5.006595995440309,-7.8520649313368684,
-0.186395177313,9.218147992958098,nervous_system
