source,target,type
DB01359,DOID:3393,TREATS_CtD
DB01359,DOID:10763,TREATS_CtD
DB00246,DOID:11119,PALLIATES_CpD
DB00246,DOID:3312,PALLIATES_CpD
DB00246,DOID:5419,PALLIATES_CpD
DOID:4606,UBERON:0001064,LOCALIZES_DlA
DOID:4606,UBERON:0001182,LOCALIZES_DlA
DOID:4606,UBERON:0001970,LOCALIZES_DlA
DOID:4606,UBERON:0001193,LOCALIZES_DlA
DOID:4606,UBERON:0000211,LOCALIZES_DlA
DOID:4606,UBERON:0001174,LOCALIZES_DlA
DOID:4606,UBERON:0002017,LOCALIZES_DlA
DOID:4606,UBERON:0001175,LOCALIZES_DlA
DOID:4606,UBERON:0002107,LOCALIZES_DlA
DOID:4606,UBERON:0002294,LOCALIZES_DlA
DOID:4606,UBERON:0001640,LOCALIZES_DlA
DOID:4606,UBERON:0001143,LOCALIZES_DlA
DOID:4606,UBERON:0002394,LOCALIZES_DlA
DOID:4606,UBERON:0000029,LOCALIZES_DlA
DOID:4606,UBERON:0002110,LOCALIZES_DlA
DOID:4606,UBERON:0001264,LOCALIZES_DlA
DOID:4606,2064,ASSOCIATES_DaG
DOID:4606,8495,ASSOCIATES_DaG
DOID:4606,5743,ASSOCIATES_DaG
DOID:4606,64321,ASSOCIATES_DaG
DOID:4606,5791,ASSOCIATES_DaG
DOID:4606,4893,ASSOCIATES_DaG
DOID:4606,3845,ASSOCIATES_DaG
DOID:4606,6528,ASSOCIATES_DaG
DOID:4606,54474,ASSOCIATES_DaG
DOID:4606,8289,ASSOCIATES_DaG
DOID:4606,83482,ASSOCIATES_DaG
DOID:4606,10232,ASSOCIATES_DaG
DOID:4606,3418,ASSOCIATES_DaG
DOID:4606,8314,ASSOCIATES_DaG
DOID:4606,4585,ASSOCIATES_DaG
DOID:4606,4089,ASSOCIATES_DaG
DOID:4606,4843,ASSOCIATES_DaG
DOID:4606,3855,ASSOCIATES_DaG
DOID:4606,3880,ASSOCIATES_DaG
DOID:4606,8932,ASSOCIATES_DaG
DOID:4606,7157,ASSOCIATES_DaG
DOID:4606,3569,ASSOCIATES_DaG
DOID:4606,5178,ASSOCIATES_DaG
DOID:4606,54894,ASSOCIATES_DaG
DOID:4606,4313,ASSOCIATES_DaG
DOID:4606,4583,ASSOCIATES_DaG
DOID:4606,4582,ASSOCIATES_DaG
DOID:4606,55193,ASSOCIATES_DaG
DOID:4606,7040,ASSOCIATES_DaG
DOID:4606,10732,ASSOCIATES_DaG
DOID:4606,4233,ASSOCIATES_DaG
DOID:4606,3265,ASSOCIATES_DaG
DOID:4606,4318,ASSOCIATES_DaG
DOID:4606,3417,ASSOCIATES_DaG
DOID:4606,2778,ASSOCIATES_DaG
DOID:4606,58508,ASSOCIATES_DaG
DOID:4606,7048,ASSOCIATES_DaG
DOID:4606,3082,ASSOCIATES_DaG
DOID:4606,3371,ASSOCIATES_DaG
DOID:4606,6092,ASSOCIATES_DaG
DOID:4606,1956,ASSOCIATES_DaG
DOID:4606,55711,ASSOCIATES_DaG
DOID:4606,D011537,PRESENTS_DpS
DOID:4606,D003085,PRESENTS_DpS
DOID:4606,D015746,PRESENTS_DpS
DOID:4606,D007565,PRESENTS_DpS
DOID:4606,D041781,PRESENTS_DpS
DOID:4606,DOID:12236,RESEMBLES_DrD
DOID:4606,DOID:3571,RESEMBLES_DrD
DOID:4606,DOID:4989,RESEMBLES_DrD
DOID:4606,DOID:4045,RESEMBLES_DrD
DOID:4606,DOID:1793,RESEMBLES_DrD
DOID:4606,DOID:3121,RESEMBLES_DrD
DOID:4606,DOID:14268,RESEMBLES_DrD
DOID:4606,DOID:10021,RESEMBLES_DrD
DB06589,DOID:263,TREATS_CtD
DB00322,DOID:10534,TREATS_CtD
DB00318,DOID:8398,PALLIATES_CpD
DB06151,DOID:3083,PALLIATES_CpD
DB00218,DOID:3083,PALLIATES_CpD
DB01105,DOID:9970,TREATS_CtD
DB00264,DOID:10763,TREATS_CtD
DB01115,DOID:10763,TREATS_CtD
DB01115,DOID:418,PALLIATES_CpD
DB01115,DOID:3393,PALLIATES_CpD
